French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Canne,NI,8badahon,Nom;Objet,"Wz8khilain, 1830, p.59",,
Parapluie,NI,8bagawatahigan,Nom;Objet,"Laurent, 1884, p.71",,
Pic-Bois,NA,8basas,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
En train de… (faire une action),Préverbe,8bchi,Préverbe,"Laurent, 1884, p.71",,
Quelqu’un rit,VAI isc,8bdalmimek,Verbe,,,
Mal de dents,NI,8bid8gw8gan;8bidawas,Nom,"Laurent, 1884, p.24",,
Plûtot que,Conjonction,8daki,,"Laurent, 1884, p.90",,
Rame,NA,8dolibi8gan,Nom;Objet,"Wz8khilain, 1830, p.65",,
Ombre ou hors champ,VII,8gawata,Verbe,"Day, 1994, p.420",,
Raquette,NA,8gem,Nom,"Laurent, 1884, p.61",,
Frêne blanc,NA,8gmakw,Nom;Plante;Arbre,"Wz8khilain, 1830, p.46",,
Apparemment,Adv,8gwni,Adverbe,"Wz8khilain, 1830, p.46",,
Oui,Participe,8h8,,"Laurent, 1884, p.117",,
Ça grandit,VII;3;s;présent,8jigen,Verbe,"Day, 1994, p.422",,
L'histoire,NI,8jmow8gan,Nom,"Laurent, 1884, p.65",,
Histoire,NI,8jomow8gan,Nom,"Rasles, 1831, p.466",,
Magasin,NI,8kolhaïgamikw,Nom;Lieu,"Day, 1994, p.475",,
Néanmoins,Participe,8lawiki,,"Wz8khilain, 1830, p.33","Day, 1994, p.422",
Pêche (au poisson),NI,8maw8gan,Nom,"Laurent, 1884, p.48",,
Casino,NI,8mkapapowigamikw,Nom;Lieu,,,
Amélanche,NI,8mwaimen,Nom;Plante;Fruit,"Day, 1994, p.424",,
Amélanchier,NA,8mwaimenakwam,Nom;Plante;Arbre,"Day, 1994, p.424",,
Quelqu’un vend quelquechose (A) à quelqu’un.,VTA isc,8nkolh8mek,Verbe,"Laurent, 1884, p.71",,
"Sceau-de-Salomon, Polygonatum Pubescens et Smilacina Racemosa",NI,8pkweskak,Nom;Plante,"Rousseau, 1947, p. 46",,
Cuit,VAI;2;s;impératif,8ptadboka,Verbe,"Day, 1994, p.427",,
Quelqu’un cuit.,VAI isc,8ptadbokamek,Verbe,"Day, 1994, p.427",,
Érable de pennsylvanie,NA,8sagakw,Nom;Plante;Arbre,"Rousseau, 1947, p. 42",,
Conteur,AI pt,8tlokat,Verbe;Personne,"Day, 1994, p.428",,
"Histoire, Récit, Légende",NI,8tlokaw8gan,Nom,"Day, 1994, p.425",,
Quelqu'un raconte une légende,VAI isc,8tlokawamek,Verbe,,,
Ça continue,Participe,8walami,,"Wz8khilain, 1830, p.33","Day, 1994, p.429",
